Date,Estimate,Status,Success,Name,Address,Zip-code,City,Country
1988-09-18 01:39:47,0.7941507673811098,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1989-10-04 10:21:13,0.8579772805368525,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1990-11-29 17:30:14,0.9478397174682728,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1989-09-10 09:45:18,0.1896624664543253,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1989-08-02 07:48:29,0.9411946379482904,completed,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1986-09-24 17:54:22,0.6258272355185608,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1991-07-07 15:30:35,0.2047332044484264,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1989-07-11 19:07:37,0.9515336287203164,completed,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1990-02-23 03:54:11,0.7145015500290648,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1988-12-09 05:22:16,0.2534617268728065,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1988-09-16 18:00:57,0.9337824068345963,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1990-05-09 08:11:24,0.3360009152792808,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1990-01-29 21:30:44,0.8538255497919959,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1989-05-28 16:53:21,0.9581835418267576,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1988-04-24 13:10:22,0.9871693777066792,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1991-03-16 01:57:15,0.747409443914589,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1986-11-13 19:18:29,0.3621079462990261,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1988-05-19 22:17:08,0.0253218501856409,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1987-11-14 09:41:53,0.7248011684672825,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1989-01-13 12:17:39,0.8702943588055689,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1986-05-05 11:59:29,0.2184549480155788,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1990-12-14 04:07:59,0.912206166180384,completed,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1990-05-31 21:49:03,0.0095283265706984,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1990-12-18 17:54:57,0.2882672740460028,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1991-05-17 07:06:12,0.0167084178991385,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1988-05-24 09:56:53,0.764538498001812,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1990-12-14 07:30:28,0.2477792576446285,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1986-11-10 23:38:02,0.6806664025663602,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1987-06-23 00:40:38,0.6775552294088814,completed,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1987-08-08 13:05:52,0.1298725409444655,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1990-02-21 15:39:33,0.2374039766492824,completed,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1986-12-23 08:08:07,0.9942976801220086,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1991-04-22 09:53:15,0.0965679301608533,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1986-09-20 11:30:45,0.1379161721715854,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1988-02-12 23:28:54,0.6600316548404681,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1990-02-21 09:30:31,0.7909273089470017,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1991-04-27 17:37:15,0.6085636851134194,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1988-09-24 03:58:02,0.9381037109271364,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1991-05-22 06:04:54,0.2479771824596461,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1991-11-27 17:44:06,0.7140396089727901,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1987-08-17 08:10:29,0.955647732122444,completed,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1988-10-27 15:57:22,0.9297471395531556,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1991-04-25 02:46:13,0.0947219982561635,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1991-12-22 17:50:35,0.3899695272260401,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1986-09-12 21:09:21,0.4057651978557972,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1988-05-18 08:08:03,0.7691773983841059,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1988-01-22 11:16:03,0.1313643762932123,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1986-04-20 23:12:46,0.3193646506749701,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1986-04-24 18:03:08,0.4338503534208224,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1991-07-07 11:55:51,0.5265891300778311,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1987-08-19 11:25:25,0.9344705416386138,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1989-04-22 02:03:29,0.9305059073977135,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1990-08-11 05:23:23,0.3633582098039508,completed,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1986-11-22 20:45:12,0.3256460147798407,completed,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1988-03-06 23:32:18,0.9400295808625668,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1990-10-19 02:38:29,0.8310785708798297,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
1989-06-30 21:03:28,0.5992823504449143,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,4736,Waldheim,Germany
